"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 10월 26일","1,756.66","1,779.04","1,779.04","1,740.07","51.92M","-1.13%"
"2018년 10월 25일","1,776.78","1,761.94","1,780.76","1,755.26","65.38M","-1.83%"
"2018년 10월 24일","1,809.99","1,828.57","1,828.97","1,805.27","46.54M","-0.55%"
"2018년 10월 23일","1,819.91","1,847.93","1,848.02","1,807.68","42.37M","-2.31%"
"2018년 10월 22일","1,862.89","1,844.82","1,867.62","1,841.30","25.55M","0.27%"
"2018년 10월 19일","1,857.79","1,832.63","1,860.35","1,827.06","31.91M","0.49%"
"2018년 10월 18일","1,848.81","1,855.59","1,864.87","1,848.45","30.04M","-0.92%"
"2018년 10월 17일","1,866.00","1,864.66","1,877.78","1,860.24","32.92M","1.16%"
"2018년 10월 16일","1,844.60","1,858.57","1,863.37","1,839.34","25.61M","-0.15%"
"2018년 10월 15일","1,847.45","1,856.59","1,857.67","1,842.38","31.26M","-0.89%"
"2018년 10월 12일","1,864.05","1,840.15","1,877.68","1,838.22","46.24M","1.57%"
"2018년 10월 11일","1,835.16","1,879.14","1,884.62","1,835.16","63.40M","-4.35%"
"2018년 10월 10일","1,918.72","1,927.63","1,931.29","1,912.26","48.87M","-0.33%"
"2018년 10월 08일","1,925.12","1,921.02","1,938.60","1,921.02","26.92M","-0.26%"
"2018년 10월 05일","1,930.13","1,930.22","1,939.67","1,918.29","39.40M","-0.01%"
"2018년 10월 04일","1,930.34","1,961.17","1,961.19","1,927.63","47.57M","-1.79%"
