"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 04월 20일","1,561.54","1,568.84","1,574.89","1,561.50","25.65K","-0.20%"
"2016년 04월 19일","1,564.63","1,572.30","1,575.39","1,562.01","25.65K","-0.24%"
"2016년 04월 18일","1,568.45","1,561.45","1,568.54","1,559.12","26.60K","-0.26%"
"2016년 04월 15일","1,572.58","1,572.58","1,575.98","1,566.22","30.95K","-0.16%"
"2016년 04월 14일","1,575.16","1,565.03","1,575.34","1,562.25","44.71K","2.24%"
"2016년 04월 12일","1,540.67","1,529.86","1,542.01","1,528.14","22.45K","0.72%"
"2016년 04월 11일","1,529.73","1,525.91","1,530.78","1,518.76","20.46K","0.24%"
"2016년 04월 08일","1,526.04","1,519.50","1,526.04","1,511.80","25.49K","-0.25%"
"2016년 04월 07일","1,529.94","1,537.11","1,538.59","1,522.16","24.95K","0.02%"
"2016년 04월 06일","1,529.56","1,522.24","1,533.88","1,521.73","53.45K","0.71%"
"2016년 04월 05일","1,518.85","1,531.28","1,531.60","1,517.59","19.19K","-1.27%"
"2016년 04월 04일","1,538.34","1,532.34","1,538.34","1,528.49","21.60K","0.36%"
"2016년 04월 01일","1,532.76","1,554.44","1,554.44","1,528.61","26.48K","-1.57%"
"2016년 03월 31일","1,557.22","1,563.35","1,564.87","1,548.74","31.80K","-0.25%"
"2016년 03월 30일","1,561.12","1,563.54","1,568.54","1,558.12","25.10K","0.49%"
"2016년 03월 29일","1,553.49","1,546.86","1,555.73","1,544.23","22.10K","0.68%"
"2016년 03월 28일","1,542.95","1,541.45","1,548.69","1,540.10","15.86K","0.11%"
"2016년 03월 25일","1,541.25","1,547.06","1,547.55","1,538.59","21.01K","-0.21%"
"2016년 03월 24일","1,544.45","1,545.49","1,551.06","1,539.67","26.34K","-0.44%"
"2016년 03월 23일","1,551.27","1,552.80","1,557.07","1,545.64","24.39K","-0.16%"
"2016년 03월 22일","1,553.82","1,548.23","1,553.82","1,544.13","28.47K","0.54%"
"2016년 03월 21일","1,545.50","1,549.37","1,553.96","1,536.77","21.99K","0.06%"
"2016년 03월 18일","1,544.62","1,547.31","1,547.53","1,537.39","27.60K","0.31%"
"2016년 03월 17일","1,539.80","1,538.10","1,552.44","1,537.48","26.71K","0.67%"
"2016년 03월 16일","1,529.52","1,527.27","1,535.28","1,524.87","25.20K","0.18%"
"2016년 03월 15일","1,526.79","1,532.06","1,535.08","1,523.56","22.05K","-0.20%"
"2016년 03월 14일","1,529.79","1,537.43","1,537.58","1,528.10","25.60K","0.36%"
"2016년 03월 11일","1,524.33","1,516.45","1,528.80","1,515.81","25.95K","0.51%"
"2016년 03월 10일","1,516.67","1,506.59","1,525.10","1,504.08","34.77K","1.02%"
"2016년 03월 09일","1,501.36","1,491.86","1,501.36","1,488.86","28.48K","0.25%"
"2016년 03월 08일","1,497.59","1,511.33","1,511.33","1,493.54","40.00K","-0.98%"
"2016년 03월 07일","1,512.46","1,514.83","1,517.12","1,510.17","42.96K","0.12%"
"2016년 03월 04일","1,510.59","1,511.67","1,515.48","1,506.11","35.29K","-0.20%"
"2016년 03월 03일","1,513.60","1,517.72","1,517.72","1,505.00","42.32K","0.51%"
"2016년 03월 02일","1,505.91","1,505.78","1,509.81","1,503.02","29.53K","1.76%"
"2016년 02월 29일","1,479.93","1,485.67","1,491.00","1,479.93","29.91K","-0.29%"
"2016년 02월 26일","1,484.21","1,492.42","1,492.81","1,481.72","29.29K","-0.10%"
"2016년 02월 25일","1,485.66","1,486.48","1,495.90","1,477.19","25.88K","0.13%"
"2016년 02월 24일","1,483.77","1,477.33","1,486.93","1,476.35","23.15K","0.16%"
"2016년 02월 23일","1,481.39","1,487.63","1,489.02","1,477.23","21.29K","0.23%"
"2016년 02월 22일","1,478.04","1,479.03","1,483.65","1,471.91","19.45K","-0.37%"
"2016년 02월 19일","1,483.49","1,477.37","1,485.31","1,471.48","24.55K","0.16%"
"2016년 02월 18일","1,481.12","1,484.47","1,484.47","1,473.30","31.35K","1.06%"
"2016년 02월 17일","1,465.53","1,457.96","1,472.62","1,455.77","36.79K","0.63%"
"2016년 02월 16일","1,456.36","1,441.11","1,461.15","1,438.39","29.15K","1.41%"
"2016년 02월 15일","1,436.16","1,434.84","1,440.43","1,427.75","30.83K","1.36%"
"2016년 02월 12일","1,416.89","1,410.00","1,424.61","1,408.78","35.96K","-0.02%"
"2016년 02월 11일","1,417.16","1,422.13","1,426.08","1,414.27","29.39K","-2.69%"
"2016년 02월 05일","1,456.38","1,451.45","1,460.10","1,448.81","39.87K","0.33%"
"2016년 02월 04일","1,451.64","1,431.28","1,451.64","1,430.61","27.77K","2.01%"
"2016년 02월 03일","1,423.05","1,425.07","1,425.69","1,415.93","27.59K","-0.96%"
"2016년 02월 02일","1,436.83","1,445.02","1,448.37","1,436.40","28.86K","-1.19%"
"2016년 02월 01일","1,454.11","1,448.13","1,454.11","1,443.42","27.98K","0.62%"
"2016년 01월 29일","1,445.18","1,440.79","1,445.18","1,424.34","38.83K","0.01%"
"2016년 01월 28일","1,444.98","1,431.17","1,445.18","1,424.29","74.71K","0.05%"
"2016년 01월 27일","1,444.25","1,428.56","1,444.25","1,426.99","32.11K","1.90%"
"2016년 01월 26일","1,417.39","1,428.58","1,431.38","1,412.16","30.59K","-1.45%"
"2016년 01월 25일","1,438.21","1,439.41","1,445.93","1,432.55","27.35K","0.42%"
"2016년 01월 22일","1,432.17","1,415.08","1,432.17","1,415.08","25.09K","2.39%"
"2016년 01월 21일","1,398.71","1,405.30","1,417.23","1,398.71","25.87K","-0.42%"
"2016년 01월 20일","1,404.61","1,433.79","1,433.79","1,397.65","30.99K","-2.48%"
"2016년 01월 19일","1,440.28","1,429.49","1,440.75","1,419.60","26.22K","0.86%"
"2016년 01월 18일","1,427.99","1,405.04","1,431.64","1,403.34","26.89K","-0.07%"
"2016년 01월 15일","1,429.03","1,457.60","1,459.43","1,424.54","31.55K","-1.16%"
"2016년 01월 14일","1,445.84","1,440.65","1,446.51","1,434.68","28.45K","-0.84%"
"2016년 01월 13일","1,458.15","1,453.60","1,463.44","1,450.36","25.53K","1.05%"
"2016년 01월 12일","1,443.04","1,453.51","1,456.17","1,441.97","24.54K","-0.02%"
"2016년 01월 11일","1,443.39","1,441.48","1,453.35","1,438.94","24.09K","-1.20%"
"2016년 01월 08일","1,460.98","1,442.68","1,462.21","1,441.42","26.03K","0.71%"
"2016년 01월 07일","1,450.67","1,458.38","1,466.62","1,449.78","23.39K","-1.19%"
"2016년 01월 06일","1,468.15","1,485.97","1,485.97","1,462.74","24.73K","-1.04%"
"2016년 01월 05일","1,483.58","1,470.84","1,491.86","1,470.52","23.03K","0.62%"
"2016년 01월 04일","1,474.45","1,504.23","1,504.23","1,474.45","21.97K","-2.45%"
"2015년 12월 30일","1,511.43","1,523.03","1,525.58","1,509.58","20.90K","-0.36%"
"2015년 12월 29일","1,516.86","1,517.73","1,519.77","1,504.45","21.13K","-0.59%"
"2015년 12월 28일","1,525.90","1,550.54","1,550.99","1,525.90","22.92K","-1.58%"
"2015년 12월 24일","1,550.34","1,566.00","1,566.81","1,550.34","20.29K","-0.55%"
"2015년 12월 23일","1,558.98","1,552.11","1,564.30","1,548.05","29.74K","0.49%"
"2015년 12월 22일","1,551.36","1,538.05","1,551.36","1,530.73","26.86K","0.95%"
"2015년 12월 21일","1,536.78","1,534.28","1,544.54","1,526.22","18.95K","0.21%"
"2015년 12월 18일","1,533.49","1,528.42","1,541.29","1,527.76","23.60K","-0.80%"
"2015년 12월 17일","1,545.90","1,555.65","1,557.69","1,535.85","24.40K","0.07%"
"2015년 12월 16일","1,544.81","1,527.91","1,550.97","1,527.91","27.44K","1.95%"
"2015년 12월 15일","1,515.21","1,515.22","1,517.79","1,510.29","20.45K","0.31%"
"2015년 12월 14일","1,510.52","1,505.67","1,512.10","1,502.34","28.55K","-0.81%"
"2015년 12월 11일","1,522.90","1,523.16","1,530.52","1,518.71","24.45K","0.01%"
"2015년 12월 10일","1,522.78","1,511.71","1,526.87","1,510.00","34.97K","0.71%"
"2015년 12월 09일","1,512.04","1,513.02","1,519.38","1,506.91","19.63K","0.11%"
"2015년 12월 08일","1,510.33","1,518.31","1,523.47","1,510.33","22.69K","-0.43%"
"2015년 12월 07일","1,516.80","1,534.63","1,534.63","1,516.80","18.61K","-0.51%"
"2015년 12월 04일","1,524.55","1,522.18","1,531.77","1,520.65","20.72K","-1.01%"
"2015년 12월 03일","1,540.08","1,544.50","1,545.70","1,530.86","19.40K","-0.78%"
"2015년 12월 02일","1,552.19","1,568.32","1,569.22","1,552.18","20.10K","-0.99%"
"2015년 12월 01일","1,567.66","1,544.12","1,569.21","1,544.12","25.11K","2.03%"
"2015년 11월 30일","1,536.50","1,563.62","1,563.62","1,535.53","48.74K","-2.05%"
"2015년 11월 27일","1,568.70","1,578.60","1,579.56","1,567.83","22.21K","-0.18%"
"2015년 11월 26일","1,571.57","1,555.15","1,575.75","1,555.15","34.66K","1.32%"
"2015년 11월 25일","1,551.13","1,559.12","1,560.15","1,551.13","28.58K","-0.38%"
"2015년 11월 24일","1,557.06","1,545.64","1,560.91","1,545.07","25.09K","0.73%"
"2015년 11월 23일","1,545.84","1,544.66","1,553.33","1,540.41","19.64K","0.28%"
"2015년 11월 20일","1,541.46","1,543.19","1,547.80","1,537.93","19.36K","-0.17%"
"2015년 11월 19일","1,544.14","1,535.37","1,544.14","1,531.49","23.47K","1.21%"
"2015년 11월 18일","1,525.65","1,521.16","1,530.33","1,521.00","23.12K","0.54%"
"2015년 11월 17일","1,517.45","1,525.23","1,529.85","1,517.45","20.12K","0.80%"
"2015년 11월 16일","1,505.42","1,507.15","1,518.16","1,505.24","27.57K","-1.53%"
"2015년 11월 13일","1,528.77","1,533.53","1,538.11","1,528.72","20.77K","-1.03%"
"2015년 11월 12일","1,544.61","1,548.59","1,551.14","1,544.50","17.03K","-0.33%"
"2015년 11월 11일","1,549.71","1,548.39","1,555.30","1,537.82","19.08K","-0.06%"
"2015년 11월 10일","1,550.63","1,559.61","1,563.45","1,545.12","26.10K","-1.18%"
"2015년 11월 09일","1,569.19","1,567.80","1,572.45","1,557.98","21.16K","-0.13%"
"2015년 11월 06일","1,571.19","1,580.42","1,581.68","1,567.92","20.52K","-0.70%"
"2015년 11월 05일","1,582.31","1,582.11","1,584.89","1,575.50","21.13K","-0.22%"
"2015년 11월 04일","1,585.75","1,590.93","1,595.19","1,579.43","26.91K","-0.12%"
"2015년 11월 03일","1,587.68","1,586.65","1,594.61","1,583.45","52.82K","0.36%"
"2015년 11월 02일","1,582.03","1,573.39","1,582.24","1,571.72","24.53K","0.79%"
"2015년 10월 30일","1,569.58","1,566.05","1,581.06","1,564.56","35.68K","0.41%"
"2015년 10월 29일","1,563.18","1,578.31","1,595.55","1,563.18","93.75K","-0.16%"
"2015년 10월 28일","1,565.72","1,567.77","1,567.77","1,557.22","28.17K","-0.19%"
"2015년 10월 27일","1,568.70","1,562.96","1,570.89","1,558.42","24.86K","-0.10%"
"2015년 10월 26일","1,570.20","1,572.53","1,572.73","1,564.38","25.46K","0.32%"
"2015년 10월 23일","1,565.16","1,568.22","1,578.40","1,562.55","34.52K","0.81%"
"2015년 10월 22일","1,552.55","1,561.22","1,565.10","1,549.78","42.31K","-0.50%"
"2015년 10월 21일","1,560.35","1,552.91","1,567.58","1,550.00","38.98K","0.38%"
"2015년 10월 20일","1,554.45","1,549.21","1,556.30","1,547.08","22.96K","0.38%"
"2015년 10월 19일","1,548.54","1,548.03","1,550.92","1,541.29","19.31K","0.02%"
"2015년 10월 16일","1,548.20","1,553.56","1,553.56","1,542.38","25.58K","-0.19%"
"2015년 10월 15일","1,551.13","1,530.89","1,556.12","1,529.92","27.36K","1.22%"
"2015년 10월 14일","1,532.49","1,532.64","1,535.95","1,524.61","28.11K","-0.25%"
"2015년 10월 13일","1,536.36","1,536.97","1,543.46","1,530.19","28.37K","-0.10%"
"2015년 10월 12일","1,537.90","1,537.75","1,543.98","1,531.59","36.60K","-0.01%"
"2015년 10월 08일","1,538.13","1,526.09","1,538.13","1,518.41","32.04K","1.29%"
"2015년 10월 07일","1,518.52","1,495.23","1,519.17","1,495.23","27.07K","2.18%"
"2015년 10월 06일","1,486.06","1,483.01","1,486.35","1,476.76","28.62K","1.13%"
"2015년 10월 05일","1,469.40","1,474.23","1,484.40","1,467.45","23.78K","0.09%"
"2015년 10월 02일","1,468.15","1,472.95","1,480.39","1,468.15","24.04K","-0.55%"
"2015년 10월 01일","1,476.23","1,465.10","1,483.19","1,459.31","24.91K","0.60%"
"2015년 09월 30일","1,467.45","1,423.16","1,467.70","1,422.19","36.55K","1.73%"
"2015년 09월 25일","1,442.53","1,446.67","1,450.70","1,437.20","21.03K","-0.15%"
"2015년 09월 24일","1,444.66","1,452.83","1,455.26","1,442.46","26.21K","-0.02%"
"2015년 09월 23일","1,445.01","1,451.59","1,460.05","1,445.01","28.02K","-1.61%"
"2015년 09월 22일","1,468.69","1,464.74","1,471.29","1,456.45","25.90K","0.77%"
"2015년 09월 21일","1,457.50","1,467.64","1,474.62","1,456.24","20.28K","-2.00%"
"2015년 09월 18일","1,487.20","1,473.78","1,487.74","1,460.16","32.56K","0.60%"
"2015년 09월 17일","1,478.40","1,481.23","1,481.23","1,469.84","38.28K","0.33%"
"2015년 09월 16일","1,473.50","1,445.70","1,476.87","1,445.63","40.41K","2.40%"
"2015년 09월 15일","1,439.02","1,436.34","1,441.16","1,433.05","23.05K","0.08%"
"2015년 09월 14일","1,437.94","1,440.77","1,441.90","1,428.10","24.45K","0.16%"
"2015년 09월 11일","1,435.66","1,444.78","1,449.80","1,435.66","25.80K","-1.72%"
"2015년 09월 10일","1,460.79","1,437.42","1,460.79","1,435.95","38.77K","0.74%"
"2015년 09월 09일","1,450.13","1,428.43","1,450.13","1,428.42","31.58K","2.67%"
"2015년 09월 08일","1,412.39","1,406.69","1,415.27","1,402.16","22.55K","0.64%"
"2015년 09월 07일","1,403.37","1,405.62","1,409.38","1,397.17","19.93K","-0.33%"
"2015년 09월 04일","1,407.99","1,422.62","1,423.18","1,403.00","24.00K","-0.57%"
"2015년 09월 03일","1,416.12","1,420.46","1,421.77","1,409.75","27.02K","0.35%"
"2015년 09월 02일","1,411.23","1,389.47","1,415.95","1,386.62","28.49K","0.22%"
"2015년 09월 01일","1,408.13","1,421.15","1,424.17","1,407.02","30.00K","-1.31%"
"2015년 08월 31일","1,426.79","1,415.80","1,426.79","1,408.41","36.93K","0.45%"
"2015년 08월 28일","1,420.44","1,418.26","1,422.01","1,413.91","38.94K","1.37%"
"2015년 08월 27일","1,401.23","1,406.52","1,408.60","1,396.96","41.48K","0.59%"
"2015년 08월 26일","1,392.99","1,367.23","1,396.10","1,359.60","46.59K","1.61%"
"2015년 08월 25일","1,370.98","1,369.85","1,389.76","1,348.45","51.70K","0.39%"
"2015년 08월 24일","1,365.68","1,389.24","1,396.26","1,339.48","47.39K","-2.61%"
"2015년 08월 21일","1,402.22","1,399.38","1,411.48","1,393.01","38.38K","-1.98%"
"2015년 08월 20일","1,430.55","1,440.33","1,440.39","1,426.20","30.22K","-0.91%"
"2015년 08월 19일","1,443.72","1,448.02","1,454.49","1,439.25","40.37K","0.14%"
"2015년 08월 18일","1,441.68","1,443.70","1,450.84","1,438.70","27.32K","0.50%"
"2015년 08월 17일","1,434.49","1,453.73","1,453.93","1,434.45","23.93K","-1.05%"
"2015년 08월 13일","1,449.64","1,452.13","1,457.01","1,446.48","29.58K","-0.40%"
"2015년 08월 12일","1,455.45","1,446.76","1,460.32","1,442.21","34.88K","0.19%"
"2015년 08월 11일","1,452.65","1,464.87","1,472.90","1,452.20","26.18K","-0.04%"
"2015년 08월 10일","1,453.19","1,455.88","1,456.09","1,445.97","23.87K","-0.32%"
"2015년 08월 07일","1,457.84","1,456.92","1,460.33","1,451.29","25.31K","-0.01%"
"2015년 08월 06일","1,457.94","1,486.84","1,486.84","1,457.82","33.06K","-1.81%"
"2015년 08월 05일","1,484.75","1,496.05","1,498.09","1,482.50","26.68K","-0.72%"
"2015년 08월 04일","1,495.45","1,482.60","1,495.70","1,482.60","31.37K","0.77%"
"2015년 08월 03일","1,484.01","1,496.71","1,496.71","1,480.34","33.52K","-1.19%"
"2015년 07월 31일","1,501.83","1,508.51","1,509.99","1,487.85","44.11K","0.02%"
"2015년 07월 30일","1,501.59","1,515.36","1,517.12","1,501.59","49.30K","-1.07%"
"2015년 07월 29일","1,517.86","1,515.84","1,522.64","1,509.18","29.66K","0.72%"
"2015년 07월 28일","1,507.03","1,498.07","1,515.57","1,493.14","40.28K","0.17%"
"2015년 07월 27일","1,504.48","1,488.89","1,511.65","1,488.89","42.22K","0.59%"
"2015년 07월 24일","1,495.62","1,506.73","1,506.73","1,492.99","37.58K","-0.99%"
"2015년 07월 23일","1,510.51","1,515.30","1,516.87","1,506.72","37.14K","-0.16%"
"2015년 07월 22일","1,512.93","1,517.06","1,521.47","1,505.30","42.59K","-0.96%"
"2015년 07월 21일","1,527.58","1,523.69","1,533.35","1,517.70","56.48K","0.66%"
"2015년 07월 20일","1,517.62","1,526.35","1,530.28","1,514.83","36.62K","-0.81%"
"2015년 07월 17일","1,530.05","1,548.12","1,548.46","1,522.04","68.29K","-0.52%"
"2015년 07월 16일","1,538.06","1,519.50","1,538.92","1,518.12","60.52K","1.15%"
"2015년 07월 15일","1,520.59","1,520.33","1,528.81","1,513.12","88.95K","0.28%"
"2015년 07월 14일","1,516.35","1,535.06","1,535.42","1,514.74","43.92K","-0.99%"
"2015년 07월 13일","1,531.49","1,516.07","1,534.15","1,515.72","26.54K","0.96%"
"2015년 07월 10일","1,516.99","1,523.30","1,523.30","1,511.37","27.61K","-0.18%"
"2015년 07월 09일","1,519.70","1,497.23","1,519.70","1,491.06","30.18K","0.77%"
"2015년 07월 08일","1,508.12","1,528.90","1,529.20","1,508.12","29.89K","-1.18%"
"2015년 07월 07일","1,526.13","1,525.79","1,529.34","1,516.36","30.99K","0.27%"
"2015년 07월 06일","1,522.06","1,542.28","1,547.51","1,519.90","31.43K","-2.61%"
"2015년 07월 03일","1,562.87","1,569.76","1,571.33","1,556.61","24.83K","-0.63%"
"2015년 07월 02일","1,572.70","1,576.78","1,577.50","1,567.87","35.21K","-0.15%"
"2015년 07월 01일","1,575.02","1,559.96","1,578.66","1,552.78","38.60K","0.96%"
"2015년 06월 30일","1,560.10","1,552.86","1,562.45","1,552.86","27.90K","0.24%"
"2015년 06월 29일","1,556.41","1,548.12","1,556.88","1,546.03","33.96K","-0.82%"
"2015년 06월 26일","1,569.21","1,559.88","1,574.95","1,557.77","30.35K","0.31%"
"2015년 06월 25일","1,564.33","1,572.94","1,576.11","1,564.33","27.39K","-1.02%"
"2015년 06월 24일","1,580.46","1,582.51","1,583.53","1,572.03","26.90K","-0.02%"
"2015년 06월 23일","1,580.84","1,572.67","1,588.33","1,567.38","33.20K","1.55%"
"2015년 06월 22일","1,556.68","1,560.97","1,568.11","1,554.45","23.36K","0.53%"
"2015년 06월 19일","1,548.50","1,559.30","1,559.47","1,548.45","30.87K","-0.05%"
"2015년 06월 18일","1,549.24","1,558.43","1,563.55","1,547.13","27.49K","-0.07%"
"2015년 06월 17일","1,550.26","1,551.86","1,553.78","1,541.05","29.19K","0.15%"
"2015년 06월 16일","1,547.90","1,562.95","1,562.95","1,534.96","41.53K","-0.88%"
"2015년 06월 15일","1,561.65","1,556.53","1,565.27","1,552.02","24.91K","-0.32%"
"2015년 06월 12일","1,566.63","1,580.28","1,585.40","1,562.55","32.79K","-0.22%"
"2015년 06월 11일","1,570.16","1,580.24","1,582.61","1,567.90","50.47K","-0.01%"
"2015년 06월 10일","1,570.36","1,590.12","1,591.30","1,570.00","38.96K","-0.43%"
"2015년 06월 09일","1,577.20","1,582.61","1,588.95","1,572.64","30.30K","-0.60%"
"2015년 06월 08일","1,586.75","1,597.71","1,597.71","1,586.75","31.29K","-0.67%"
"2015년 06월 05일","1,597.42","1,590.19","1,605.61","1,589.88","37.79K","-0.07%"
"2015년 06월 04일","1,598.54","1,596.40","1,608.17","1,590.45","44.13K","0.86%"
"2015년 06월 03일","1,584.93","1,602.65","1,608.25","1,580.90","34.66K","-0.99%"
"2015년 06월 02일","1,600.77","1,615.23","1,619.22","1,597.58","34.69K","-0.85%"
"2015년 06월 01일","1,614.49","1,623.54","1,624.62","1,608.10","30.23K","-0.80%"
"2015년 05월 29일","1,627.44","1,623.69","1,635.01","1,621.13","46.60K","0.27%"
"2015년 05월 28일","1,623.03","1,631.35","1,635.31","1,623.03","37.55K","-0.11%"
"2015년 05월 27일","1,624.76","1,650.51","1,652.15","1,621.96","47.97K","-1.97%"
"2015년 05월 26일","1,657.47","1,654.83","1,661.92","1,643.06","39.42K","0.12%"
"2015년 05월 22일","1,655.45","1,638.09","1,655.45","1,635.86","30.39K","1.38%"
"2015년 05월 21일","1,632.94","1,652.41","1,653.19","1,631.20","25.89K","-1.25%"
"2015년 05월 20일","1,653.56","1,645.90","1,654.96","1,644.20","24.97K","0.87%"
"2015년 05월 19일","1,639.23","1,629.65","1,646.14","1,625.29","25.72K","0.39%"
"2015년 05월 18일","1,632.92","1,630.03","1,632.99","1,622.34","26.80K","0.10%"
"2015년 05월 15일","1,631.23","1,655.50","1,657.43","1,629.60","31.82K","-0.95%"
"2015년 05월 14일","1,646.80","1,646.62","1,647.91","1,639.50","25.50K","-0.04%"
"2015년 05월 13일","1,647.49","1,640.21","1,650.27","1,639.74","26.01K","0.61%"
"2015년 05월 12일","1,637.44","1,642.12","1,643.99","1,631.51","24.57K","0.04%"
"2015년 05월 11일","1,636.84","1,655.48","1,655.48","1,636.84","22.25K","-0.14%"
"2015년 05월 08일","1,639.09","1,653.50","1,657.99","1,639.09","22.42K","-1.05%"
"2015년 05월 07일","1,656.51","1,659.72","1,663.03","1,644.50","31.43K","-0.57%"
"2015년 05월 06일","1,665.93","1,677.14","1,678.15","1,660.63","31.84K","-1.19%"
"2015년 05월 04일","1,686.07","1,684.58","1,694.18","1,682.95","31.21K","0.59%"
"2015년 04월 30일","1,676.15","1,679.04","1,682.61","1,673.02","36.55K","-0.57%"
"2015년 04월 29일","1,685.76","1,691.80","1,694.90","1,670.52","43.61K","-0.05%"
"2015년 04월 28일","1,686.58","1,700.18","1,702.74","1,683.64","39.32K","-0.63%"
"2015년 04월 27일","1,697.28","1,717.71","1,718.81","1,691.58","38.10K","-0.80%"
"2015년 04월 24일","1,710.93","1,726.81","1,736.57","1,705.44","66.26K","-0.39%"
"2015년 04월 23일","1,717.59","1,701.28","1,719.17","1,696.79","66.01K","1.61%"
"2015년 04월 22일","1,690.44","1,687.58","1,701.42","1,687.37","39.63K","0.14%"
"2015년 04월 21일","1,688.11","1,691.21","1,692.02","1,683.38","37.58K","-0.08%"
"2015년 04월 20일","1,689.43","1,675.09","1,689.55","1,675.09","38.45K","0.06%"
"2015년 04월 17일","1,688.41","1,696.05","1,696.47","1,684.25","37.81K","-0.27%"
"2015년 04월 16일","1,693.01","1,687.82","1,693.01","1,679.28","51.34K","1.07%"
"2015년 04월 15일","1,675.11","1,678.56","1,680.60","1,669.85","49.91K","-0.19%"
"2015년 04월 14일","1,678.36","1,664.15","1,678.71","1,659.29","69.06K","0.96%"
"2015년 04월 13일","1,662.36","1,659.92","1,665.44","1,653.35","40.13K","0.27%"
"2015년 04월 10일","1,657.87","1,644.13","1,659.37","1,643.76","39.87K","1.29%"
"2015년 04월 09일","1,636.73","1,637.03","1,643.06","1,632.38","36.88K","-0.06%"
"2015년 04월 08일","1,637.70","1,628.86","1,640.83","1,627.96","41.09K","0.69%"
"2015년 04월 07일","1,626.40","1,639.64","1,639.64","1,625.03","28.61K","-0.08%"
"2015년 04월 06일","1,627.71","1,627.43","1,639.00","1,623.11","26.20K","0.10%"
"2015년 04월 03일","1,626.03","1,622.48","1,626.94","1,616.91","19.22K","0.48%"
"2015년 04월 02일","1,618.25","1,627.84","1,628.07","1,616.29","26.51K","-0.09%"
"2015년 04월 01일","1,619.75","1,630.44","1,631.35","1,618.99","28.71K","-1.04%"
"2015년 03월 31일","1,636.78","1,640.26","1,645.39","1,630.17","27.96K","0.42%"
"2015년 03월 30일","1,629.91","1,635.95","1,637.51","1,624.35","25.57K","-0.03%"
"2015년 03월 27일","1,630.36","1,636.57","1,640.81","1,627.65","28.41K","-0.25%"
"2015년 03월 26일","1,634.41","1,639.95","1,650.13","1,633.57","29.76K","-1.37%"
"2015년 03월 25일","1,657.16","1,662.67","1,664.54","1,653.45","31.43K","-0.23%"
"2015년 03월 24일","1,660.91","1,658.02","1,661.76","1,651.32","28.63K","-0.05%"
"2015년 03월 23일","1,661.76","1,665.57","1,666.57","1,657.66","28.00K","0.05%"
"2015년 03월 20일","1,660.96","1,665.33","1,666.24","1,652.16","31.03K","-0.27%"
"2015년 03월 19일","1,665.47","1,679.30","1,679.30","1,662.00","54.93K","0.07%"
"2015년 03월 18일","1,664.27","1,665.59","1,670.79","1,662.04","33.69K","-0.08%"
"2015년 03월 17일","1,665.66","1,636.36","1,666.27","1,636.06","35.87K","2.27%"
"2015년 03월 16일","1,628.68","1,625.63","1,633.91","1,621.53","32.91K","0.16%"
"2015년 03월 13일","1,626.13","1,630.03","1,634.73","1,626.13","28.07K","0.67%"
"2015년 03월 12일","1,615.30","1,624.37","1,635.10","1,615.30","52.41K","-0.79%"
"2015년 03월 11일","1,628.17","1,609.69","1,631.35","1,609.69","39.68K","0.54%"
"2015년 03월 10일","1,619.39","1,632.04","1,634.06","1,619.39","34.00K","-0.38%"
"2015년 03월 09일","1,625.64","1,639.76","1,639.76","1,625.40","28.03K","-1.31%"
"2015년 03월 06일","1,647.14","1,637.96","1,648.02","1,637.79","31.17K","0.73%"
"2015년 03월 05일","1,635.19","1,635.83","1,639.54","1,632.94","24.15K","-0.15%"
"2015년 03월 04일","1,637.65","1,637.94","1,639.36","1,633.25","31.91K","0.05%"
"2015년 03월 03일","1,636.76","1,637.55","1,641.62","1,634.32","37.93K","0.40%"
"2015년 03월 02일","1,630.27","1,625.06","1,630.45","1,621.13","41.20K","1.15%"
"2015년 02월 27일","1,611.67","1,622.53","1,623.57","1,611.67","37.40K","-0.76%"
"2015년 02월 26일","1,624.01","1,624.90","1,624.90","1,617.13","36.96K","-0.05%"
"2015년 02월 25일","1,624.82","1,623.06","1,626.52","1,618.44","34.21K","0.70%"
"2015년 02월 24일","1,613.50","1,619.88","1,621.34","1,612.28","25.01K","0.15%"
"2015년 02월 23일","1,611.10","1,623.50","1,625.91","1,609.46","26.50K","0.05%"
"2015년 02월 17일","1,610.27","1,603.71","1,612.08","1,600.72","22.19K","0.18%"
"2015년 02월 16일","1,607.45","1,610.06","1,612.16","1,605.96","19.23K","0.04%"
"2015년 02월 13일","1,606.83","1,599.98","1,606.83","1,597.41","25.65K","0.81%"
"2015년 02월 12일","1,593.86","1,597.76","1,598.02","1,583.61","29.59K","-0.24%"
"2015년 02월 11일","1,597.65","1,599.46","1,603.06","1,593.89","31.92K","0.17%"
"2015년 02월 10일","1,594.98","1,608.35","1,614.04","1,594.98","31.11K","-0.68%"
"2015년 02월 09일","1,605.86","1,601.48","1,609.89","1,598.62","31.35K","-0.25%"
"2015년 02월 06일","1,609.96","1,607.37","1,609.96","1,599.34","39.63K","0.23%"
"2015년 02월 05일","1,606.34","1,618.74","1,619.01","1,601.18","32.80K","-0.88%"
"2015년 02월 04일","1,620.57","1,624.47","1,632.12","1,620.57","38.79K","0.43%"
"2015년 02월 03일","1,613.59","1,623.68","1,623.68","1,608.12","39.71K","-0.27%"
"2015년 02월 02일","1,617.96","1,611.59","1,621.75","1,609.91","32.73K","0.39%"
